SMILES,ACT
NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,1
CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(CC#N)CC1,0
CC(C)Nc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,1
CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1
COc1ccccc1-c1nc2c(C(=O)NC3CN4CCC3CC4)cccc2o1,1
Cn1cc(C2CC3C(CF)SC(N)=NC3(c3ccc(F)cc3F)CO2)cn1,0
Fc1ccc(-c2[nH]c3cc(F)ccc3c2C2C[NH2+]CCC2F)cc1,1
CCCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,1
Cc1cn(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,1
Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,1
COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)C3=Cc2[nH]c(C)c(C(=O)NCCN3CCCC3)c2C)c(F)c1,1
Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)c2ccc(S(N)(=O)=O)cc2)CC1,0
CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(C6=NC(=C7C=CC(=O)N=C7)NN6)CC5)cc4)nc3n2)CC1,1
c1cncc(-c2ccc(-c3noc(C4CN5CCC4CC5)n3)o2)c1,1
COc1ccc(-c2nnc(C(=O)N3CCC(Oc4ccc(CN5CCC(O)C5)cc4)CC3)o2)cc1,0
Clc1cc(Cl)c(Cl)cc1Cl,0
CCOC(=O)OC1(C(=O)OCCl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,0
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,0
Cn1cc(C(=O)NCC(O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c(C(F)(F)F)cc1=O,0
O=C(O)CN(Cc1cccc(-c2ccccc2OC(F)(F)F)c1)S(=O)(=O)c1ccc(OC(F)F)cc1,0
Cn1nccc1C1CCCCC1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)cc1Cl,0
CC#CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1ncc3ccccc3c1C#N)c(=O)n2C,0
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3ccccc23)CC1,1
O=C(Nc1ccc(C(F)(F)F)cc1)NS(=O)(=O)c1ccc(OCCCCN2CCCC2)cc1,0
CC1CN(CCCn2c3ccccc3c3ccccc32)CC(C)N1,1
